,tweet,tweetP,Category
126,"""""""🆘CODE RED🆘TBD THU 12/9/21🆘💓HIDING"," SCARED 2YO WHITE &amp; #TABBY KITTY """"""""CANDY""""""""💓😾💔DUMPED 4 BEING BULLIED BY OTHER CATS IN THE HOME🚨NEEDS #ADOPTION #RESCUE #FOSTER ASAP🚨🚨128966 https://t.co/R1ZFDA4OQr🙏🏽#ADOPT #PLEDGE #AdoptDontShop#BROOKLYN #NYCACC #CAT #CatsofTwitter https://t.co/Er6SQpY4O9""""""",negative
127,@WendyGGA @jacquesmcclary1 I'm doin my paper work. But would be nice to have some eye candy too,I m doin my paper work But would be nice to have some eye candy too,positive
128,I know you are all psyched about my awards but I just hugged Tom Hiddleston and I'm still in shock,I know you are all psyched about my awards but I just hugged Tom Hiddleston and I m still in shock,neutral
129,"So, you from around here? I'm just here on business... I really like your pink fur. You're like the cotton candy of the jungle!",So you from around here I m just here on business I really like your pink fur You re like the cotton candy of the jungle,positive
130,IT DOESN’T MATTER IF YOU WIN THE GRAMMYS‼️ You can take your Grammy nomination… shine it up real nice… turn it sideways and SHOVE IT UP YOUR CANDY ASS. Cuz 2022… The Rock is coming… BACK… to the music scene https://t.co/C0hK22ghg9,IT DOESN T MATTER IF YOU WIN THE GRAMMYS You can take your Grammy nomination shine it up real nice turn it sideways and SHOVE IT UP YOUR CANDY ASS Cuz 2022 The Rock is coming BACK to the music scene,positive
131,"@baekhyunn_candy I deactivated bc of this, it gave me anxiety 💀",candy I deactivated bc of this it gave me anxiety,neutral
132,"@HodlrDotRocks Well hell. Its finally nice to see people on the blockchain that say that. Most here can wait to stick a chip up the back side , Hey chief when you get tired of BTC it s lole taken candy from babies on this side of the pond.",Well hell Its finally nice to see people on the blockchain that say that Most here can wait to stick a chip up the back side Hey chief when you get tired of BTC it s lole taken candy from babies on this side of the pond,positive
133,@venthepenguin — aus !!— penguins (they're so cute 😭)— candy cane,aus penguins they re so cute candy cane,positive
134,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
135,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
136,It's #NationalCottonCandyDay &amp; what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy ‼️🍬RT this post🍬Tag 2 friends🍬Comment your favorite Cotton Candy GIFWinner will be announced 12/10 https://t.co/JsNHiEqJ5l,It s NationalCottonCandyDay amp what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy RT this post Tag 2 friends Comment your favorite Cotton Candy GIFWinner will be announced 12 10,positive
137,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame,neutral
138,"Turkey, eggnog, candy-cane HEY HO",Turkey eggnog candy cane HEY HO,neutral
139,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
140,@kimjuncottonOT9 they cover it here and there in 2021😋,they cover it here and there in 2021,neutral
141,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
142,"Kier, it's an easy home run. It's an open goal. It's candy from a baby.",Kier it s an easy home run It s an open goal It s candy from a baby,positive
143,@_baekachu_ if this happens they gonna s word me https://t.co/jKwFNQhiXf,baekachu if this happens they gonna s word me,neutral
144,"As I watch a lot of black movies from the 90’s and 2000’s I realize black directors could’ve made a universe out of them.Like in “think like a man” Regina Hall character name was Candace, a single mom looking for love and in “The Best Man” her name was candy, a stripper.",As I watch a lot of black movies from the 90 s and 2000 s I realize black directors could ve made a universe out of them Like in think like a man Regina Hall character name was Candace a single mom looking for love and in The Best Man her name was candy a stripper,positive
145,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
146,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
147,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
148,"""""""@AznableDreams @HeebPunished @jacfalcon @writriverdale @StMarthaCath @theskyscribe Probably so. I think Wreck-It-Ralph was the biggest culmination of the Gen Z innocence during that pre-2014 time.Pre-DLC Season Pass gaming", Dubstep,neutral
149,IC WTS LFB PHTWICE Official Lightstick Candy Bong Z ver. 2- Onhand- 10/10 condition- The box has some damages but the lightstick itself is in perfect condition- can connect to Bluetoothprice: 1750 (1500 if PAYO)mod: shopee checkoutcan send more proofs via dm https://t.co/h3f2eU0yWR,IC WTS LFB PHTWICE Official Lightstick Candy Bong Z ver 2 Onhand 10 10 condition The box has some damages but the lightstick itself is in perfect condition can connect to Bluetoothprice 1750 1500 if PAYO mod shopee checkoutcan send more proofs via dm,positive
150,@ConcernedinPV @Jetson77 @Argusarrow @jeff77531528 @alshadowdancer @pan_dejo_ @SnoJustis @Angel_13_Rising @AnnieAdeIe1 @EthanolFree90 @Evry1H8sGrtzLOL @Sinner_Lilith @EatMe1369 @ItsBT50 @J0anofSarc @giddy_bunny @Flattielover @CABImages @PennyLynn3 @LadyOfTheOcean1 @Arizona_Sheriff @ThePoorMan95 @LarryWoolfolk2 @NanetteDonnelly @JackSpratCat @PaigeMiIner @cloudzzz757 @LisaNicholo @skeeduu @InfectiousMasc1 @MarkHoliday17 @TreatHunterDog @Emma34770971 @furcopalypse @vistaproper @Klee34036780 @Allie4Christ @IMFletcherLives @waywardmegan15 @jerbear714 @schmevil @imvala @misshellca @RushvilleRockit @Cassie_Cascio @chriscr66024638 @AnaSsassin_ @VinceGottalotta @Grmpyii @SuP3rK You jumped into a convo yesterday saying my kids must not be alright because I’ve adopted 3. I’ve adopted 2. My daughter has epilepsy and became addicted to opioids because the doctors gave them to her like candy. She was 18 when it revealed itself and I had no control. 1/2,dejo 13 Rising Lilith bunny Sheriff Cascio You jumped into a convo yesterday saying my kids must not be alright because I ve adopted 3 I ve adopted 2 My daughter has epilepsy and became addicted to opioids because the doctors gave them to her like candy She was 18 when it revealed itself and I had no control 1 2,negative
151,"Story time:my baby is army confirmed.So. I woke up early today. And usually I a can feel my baby movements,but to day even after an hour of waking up I couldn't feel any movements, and I panicked. Drank some warm water..no use Ate some candy ..no use, walked,, nothing happened",Story time my baby is army confirmed So I woke up early today And usually I a can feel my baby movements but to day even after an hour of waking up I couldn t feel any movements and I panicked Drank some warm water no use Ate some candy no use walked nothing happened,positive
152,"@RebeccaRideal I don’t know how they sleep at night.Pretty well I suppose, they must do.My uncle died from covid right back at the start of the pandemic, alone. My aunt couldn’t be with him and few people allowed at his funeral. Yet those people were enjoying nose candy and laughing at us.",I don t know how they sleep at night Pretty well I suppose they must do My uncle died from covid right back at the start of the pandemic alone My aunt couldn t be with him and few people allowed at his funeral Yet those people were enjoying nose candy and laughing at us,positive
153,@3mpireTimes @RockstarGames @RedDeadVibes @RedDeadNet @NemesisNat @iEricof @Rum_raisin32 @McRagstig @Dande_Lion55 @azuazu1202luna Thank you Empicorn 🦄,raisin32 Lion55 Thank you Empicorn,neutral
154,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA,negative
155,Trading neon shadow #adoptme Looking for mega parrot and candy cannon or mega parrot and mega hedgehog or 2 candy cannons and a neon frost dragon or mega crow and mega evil uniThose are what I want for my NFR Shadow comment if u wanna offer my NFR shadow,Trading neon shadow adoptme Looking for mega parrot and candy cannon or mega parrot and mega hedgehog or 2 candy cannons and a neon frost dragon or mega crow and mega evil uniThose are what I want for my NFR Shadow comment if u wanna offer my NFR shadow,negative
156,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
157,🔥 $100K $MMR Sweet Candy Airdrop launched🍭👇$10 $MMR ✅ Follow &amp; reweet✅ Follow telegram group &amp; channel✅ Referral: $3 $MMR Distribution after 1 week end🎉Start here: https://t.co/pavK89lPJuTutorial check: https://t.co/zaIIOgo0yw #airdrop #Giveaways #MMRS,100K MMR Sweet Candy Airdrop launched 10 MMR Follow amp reweet Follow telegram group amp channel Referral 3 MMR Distribution after 1 week end Start here check airdrop Giveaways MMRS,positive
158,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
159,IC WTS LFB PHTWICE Official Lightstick Candy Bong Z ver. 2- Onhand- 10/10 condition- The box has some damages but the lightstick itself is in perfect condition- can connect to Bluetoothprice: 1750 (1500 if PAYO)mod: shopee checkoutcan send more proofs via dm https://t.co/h3f2eU0yWR,IC WTS LFB PHTWICE Official Lightstick Candy Bong Z ver 2 Onhand 10 10 condition The box has some damages but the lightstick itself is in perfect condition can connect to Bluetoothprice 1750 1500 if PAYO mod shopee checkoutcan send more proofs via dm,positive
160,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
161,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
162,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
163,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
164,"@luC_candy I am, thanks 😘",candy I am thanks,positive
165,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
166,IC WTS LFB PHTWICE Official Lightstick Candy Bong Z ver. 2- Onhand- 10/10 condition- The box has some damages but the lightstick itself is in perfect condition- can connect to Bluetoothprice: 1750 (1500 if PAYO)mod: shopee checkoutcan send more proofs via dm https://t.co/h3f2eU0yWR,IC WTS LFB PHTWICE Official Lightstick Candy Bong Z ver 2 Onhand 10 10 condition The box has some damages but the lightstick itself is in perfect condition can connect to Bluetoothprice 1750 1500 if PAYO mod shopee checkoutcan send more proofs via dm,positive
167,My mom got me sour candy belts.I am happy now.,My mom got me sour candy belts I am happy now,positive
168,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
169,🔥 $100K $MMR Sweet Candy Airdrop launched🍭👇$10 $MMR ✅ Follow &amp; reweet✅ Follow telegram group &amp; channel✅ Referral: $3 $MMR Distribution after 1 week end🎉Start here: https://t.co/pavK89lPJuTutorial check: https://t.co/zaIIOgo0yw #airdrop #Giveaways #MMRS,100K MMR Sweet Candy Airdrop launched 10 MMR Follow amp reweet Follow telegram group amp channel Referral 3 MMR Distribution after 1 week end Start here check airdrop Giveaways MMRS,positive
170,@MarciaBarrie @NpsRrt @ljlevine1 @bab_102 @rexzane1 @JtRuss21 @jewel444 @jziggs228 @BlueGME @jbminatra @Helen504 @aaustin30 @gussyupper @MxTuner58 @TRUESAY14 @HeyCanceled @LoveMyKiaraM @DrunkenCrunker Thanks sis ! I adore cotton candy! Have a lovely day sweetie 🤗🍂💗 https://t.co/wPzz6ZtEzx,102 Thanks sis I adore cotton candy Have a lovely day sweetie,positive
171,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA,negative
172,@DegenApeAcademy is the reason candy machine exists.@DegenTrashPanda is the reason it's getting an overhaul.Carry on.,is the reason candy machine exists is the reason it s getting an overhaul Carry on,neutral
173,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
174,"Take5 and warm up!  Get ready to work safe!  All employees given big red gum, cinnamon jolly rancher’s and of course Take 5 candy bar. @ericgriffin86 @dan_mouw @thuberb22 @East_Iowa_UPS @jrindafernshaw https://t.co/Lh5kDzU24x",Take5 and warm up Get ready to work safe All employees given big red gum cinnamon jolly rancher s and of course Take 5 candy bar mouw Iowa UPS,positive
175,"😭Please give us an album, this teasing thing ain't it https://t.co/ELPLIkVntZ",Please give us an album this teasing thing ain t it,neutral
176,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame,neutral
177,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
178,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
179,"""""""@AchievementHunt A small moment that still makes me laugh is Matt saying"," """"""""Oh""",neutral
180,🔥 $100K $MMR Sweet Candy Airdrop launched🍭👇$10 $MMR ✅ Follow &amp; reweet✅ Follow telegram group &amp; channel✅ Referral: $3 $MMR Distribution after 1 week end🎉Start here: https://t.co/pavK89lPJuTutorial check: https://t.co/zaIIOgo0yw #airdrop #Giveaways #MMRS,100K MMR Sweet Candy Airdrop launched 10 MMR Follow amp reweet Follow telegram group amp channel Referral 3 MMR Distribution after 1 week end Start here check airdrop Giveaways MMRS,positive
181,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
182,$100 GIVEAWAY • Retweet &amp; Follow @quizarenaio• RT their 📌 Ends in 24 hours https://t.co/dBOPAFXOXn,100 GIVEAWAY Retweet amp Follow RT their Ends in 24 hours,neutral
183,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
184,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
185,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
186,@syisla yes me lang to hybrid HAHAHAHAH candy &amp; donut !!,yes me lang to hybrid HAHAHAHAH candy amp donut,neutral
187,Candy Shoppe for the Holiday's #RBandME #findyourthing #holidays #giftsforher https://t.co/qwQqssX30X,Candy Shoppe for the Holiday s RBandME findyourthing holidays giftsforher,neutral
188,"ayo to whoever has to stock that cart of candy…im so sorry, butyou 🗣 are 🗣 fucked 🗣 !",ayo to whoever has to stock that cart of candy im so sorry butyou are fucked,negative
189,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
190,@TheSorites Nice I got a hundo yesterday I done have enough candy or xl to power it up gonna wait,Nice I got a hundo yesterday I done have enough candy or xl to power it up gonna wait,positive
191,@iKON_INTL CandyiKONICS GATHER UP#STANWORLD #iKON @YG_iKONIC,INTL CandyiKONICS GATHER UP STANWORLD iKON iKONIC,neutral
192,$100 GIVEAWAY • Retweet &amp; Follow @TuffyNFT @LorenzoNFTs @SpadesNFTEnds in 24 hours,100 GIVEAWAY Retweet amp Follow in 24 hours,neutral
193,"When you zoom a lot of buckle, you feel full of candy cane.",When you zoom a lot of buckle you feel full of candy cane,positive
194,S-sour candy,S sour candy,negative
195,Trading candy set for ew set + adds in mm2,Trading candy set for ew set adds in mm2,neutral
196,spent an hour playing candy crush.,spent an hour playing candy crush,negative
197,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
198,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
199,@putanginangun candy &amp; lollipop !!!!,candy amp lollipop,neutral
200,the lovely jubbly 🔥 with his baby star candy 🌟 https://t.co/hQ6DLx3A7k,the lovely jubbly with his baby star candy,positive
201,@element115081 u can just call me candy ;- ; or cotton if u want but I BELIEVE IN U IS THIS THE START OF THE POKEMON THEME SOng-,u can just call me candy or cotton if u want but I BELIEVE IN U IS THIS THE START OF THE POKEMON THEME SOng,neutral
202,With all the candy canes being munched over the festive period🎅🏼🤍make sure to include us in your daily routine to keep those smiles sparkling ✨😁🍓 #keepsmiling #christmascountdown #teethcleaning https://t.co/BZcMcKDYaV https://t.co/maKiI2dhHB,With all the candy canes being munched over the festive period make sure to include us in your daily routine to keep those smiles sparkling keepsmiling christmascountdown teethcleaning,positive
203,"@A_9codm And you know it's bad for the teeth! You can always cut it down, orrrrr go to energy drinks with zero sugar. I do that now. But candy is my weakness. 😔",9codm And you know it s bad for the teeth You can always cut it down orrrrr go to energy drinks with zero sugar I do that now But candy is my weakness,negative
204,Trading candy set for ew set + adds in mm2,Trading candy set for ew set adds in mm2,neutral
205,"Girl my kids too, I ended up throwing the shit away cus I kept finding her with some candy some how smh lol https://t.co/tSHoFUfBsX",Girl my kids too I ended up throwing the shit away cus I kept finding her with some candy some how smh lol,positive
206,Trading candy set for ew set + adds in mm2,Trading candy set for ew set adds in mm2,neutral
207,you're everything. you're on the next level. you're my candy. you're so hot . you're my loser. you're my lover. you're indeed cooking like a chef. you're the stealer of my heart and you're creeping in it. you are.,you re everything you re on the next level you re my candy you re so hot you re my loser you re my lover you re indeed cooking like a chef you re the stealer of my heart and you re creeping in it you are,positive
208,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
209,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
210,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
211,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
212,⠀ ⠀ ⠀  🤠　   🍬🍬🍬    🍬   🍬　🍬   👇   🍬🍬 👇  　  🍬　🍬　   🍬　 🍬　   👢     👢howdy. i'm the sheriff of candy,howdy i m the sheriff of candy,neutral
213,"I thought I’d make keychains with them 😭I remembered about my headcanon that Erebus likes red onions (that you can actually find in the game in this place). anyway, when he was a kid, he hid onions under his pillow like candy 😭🤲🏻 https://t.co/b5WyOToqCd",I thought I d make keychains with them I remembered about my headcanon that Erebus likes red onions that you can actually find in the game in this place anyway when he was a kid he hid onions under his pillow like candy,negative
214,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
215,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
216,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA,negative
217,The fact that he pushes people off the roof for some candy?,The fact that he pushes people off the roof for some candy,neutral
218,[week10 - candy] 🍬✨#oikage #โออิคาเง #โอยเง #及影 #OikageWeekly #สอนเสิร์ฟรายสัปดาห์ https://t.co/TlTaRofU73,week10 candy oikage OikageWeekly,neutral
219,"Cold night like this, some eye candy and Christmas 🎄 hints not even 10 stations away from home. Sidenote: the selfie isn't really for me but for the gold chained jii-sama behind me. https://t.co/94oKNI7Smn",Cold night like this some eye candy and Christmas hints not even 10 stations away from home Sidenote the selfie isn t really for me but for the gold chained jii sama behind me,negative
220,pink candy panda bear via https://t.co/Cv57r3ADFp,pink candy panda bear via,negative
221,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
222,@SumOf134 /  rly gets ur muse going to have fitting song right!!i do the same for candy,rly gets ur muse going to have fitting song right i do the same for candy,positive
223,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
224,Not mean playing candy crush to avoid getting upset in this meeting 🤣,Not mean playing candy crush to avoid getting upset in this meeting,positive
225,"Fellas surprise her with her favorite candy, but her flowers, pay a bill, send her to a spa. Do something that shows her you’re thinking of her, it doesn’t even have to be monetary gesture just do something thoughtful.",Fellas surprise her with her favorite candy but her flowers pay a bill send her to a spa Do something that shows her you re thinking of her it doesn t even have to be monetary gesture just do something thoughtful,positive
226,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
227,"Nobody eats the leftover candy canes in the house except me, because they know what I'll do to them otherwise.",Nobody eats the leftover candy canes in the house except me because they know what I ll do to them otherwise,neutral
228,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
229,12/15　〜high grade hybridRainbow Candy1.500010.45000📮500https://t.co/imxPDl3zIS,12 15 high grade hybridRainbow Candy1 500010 45000,positive
230,@KnownOrigin_io GM care for a candy? 🍬,io GM care for a candy,neutral
231,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
232,"First sim- DKA, too many candy canes! @NWSEN @pefteammchft @MidCheshireNHS great video led debrief by Dr Kidd #innovationforeveryone #simulation #CHRISTMASISCOMING https://t.co/gcEwUs6sk1",First sim DKA too many candy canes great video led debrief by Dr Kidd innovationforeveryone simulation CHRISTMASISCOMING,positive
233,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
234,‘When Love Finds You’ episode ft my baby now out 🥰♥️ 🔗 https://t.co/DdVeyf6VEv https://t.co/k6gUMQrL6i,When Love Finds You episode ft my baby now out,positive
235,I'm now really crying for the Candy reply😭Miss mewgulf so so so so badly🥺Hope to see them soon🙏🏻#MewGulf#หวานใจมิวกลัฟ https://t.co/NvWtpgas0G,I m now really crying for the Candy reply Miss mewgulf so so so so badly Hope to see them soon MewGulf,negative
236,"The bears are living in a harmony through DAO, allowing owners to participate in Halloween candy bonus activities. https://t.co/ugxoVwcQsk",The bears are living in a harmony through DAO allowing owners to participate in Halloween candy bonus activities,neutral
237,Sex and Candy - Marcy Playground,Sex and Candy Marcy Playground,neutral
238,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
239,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame,neutral
240,@Danger_gone Great. Candy! You know Shrub. You guys get up to anything kinky?,gone Great Candy You know Shrub You guys get up to anything kinky,positive
241,#TYUNNING CANDY 🍬 https://t.co/SW5Abkfp7g,TYUNNING CANDY,neutral
242,⚡⚡ Jelly Candy just got sold for 0.01BNB ($5.85). Link: https://t.co/3PFXwdsUzP#Pentas https://t.co/yY4d8EN900,Jelly Candy just got sold for 0 01BNB 5 85 Link,neutral
243,Links for today's 'Raina's Biscuits and Star Candy' 7PM KST Web Link💜 https://t.co/cG8OUeGuNCDefense FM Star Candy App Download Links Android https://t.co/SFSpuWVwdKApple https://t.co/wBGBQgRLcn,Links for today s Raina s Biscuits and Star Candy 7PM KST Web Link FM Star Candy App Download Links Android,neutral
244,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
245,pink candy panda bear via https://t.co/Cv57r3ADFp,pink candy panda bear via,negative
246,"bringing a little Christmas magic to the workplace....a lovely demi arch featuring balloon present, candy cane and swirl and of course sparkling lights... https://t.co/2b77Nb9IGZ",bringing a little Christmas magic to the workplace a lovely demi arch featuring balloon present candy cane and swirl and of course sparkling lights,positive
247,I'm now really crying for the Candy reply😭Miss mewgulf so so so so badly🥺Hope to see them soon🙏🏻#MewGulf#หวานใจมิวกลัฟ https://t.co/NvWtpgas0G,I m now really crying for the Candy reply Miss mewgulf so so so so badly Hope to see them soon MewGulf,negative
248,[week10 - candy] 🍬✨#oikage #โออิคาเง #โอยเง #及影 #OikageWeekly #สอนเสิร์ฟรายสัปดาห์ https://t.co/TlTaRofU73,week10 candy oikage OikageWeekly,neutral
249,I vote #nctdream for Worldwide Fans' Choice TOP 10 at 2021 MAMA #MAMAVOTE https://t.co/KoqxvrMQZ9,I vote nctdream for Worldwide Fans Choice TOP 10 at 2021 MAMA MAMAVOTE,positive
250,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
251,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
252,Not mean playing candy crush to avoid getting upset in this meeting 🤣,Not mean playing candy crush to avoid getting upset in this meeting,positive
253,🌸 imagine your comfort character plopping a piece of sweet candy in your mouth 🍬,imagine your comfort character plopping a piece of sweet candy in your mouth,positive
254,@psmark1821 💕🌙 candy 22,candy 22,neutral
255,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
256,""""""".@B_hundred_Hyun's """"""""Candy"""""""" ranks #1 on Deezer's Top South Korea chart. https://t.co/mKbhekRhzi""""""",hundred Hyun s Candy ranks 1 on Deezer s Top South Korea chart,positive
257,Links for today's 'Raina's Biscuits and Star Candy' 7PM KST Web Link💜 https://t.co/cG8OUeGuNCDefense FM Star Candy App Download Links Android https://t.co/SFSpuWVwdKApple https://t.co/wBGBQgRLcn,Links for today s Raina s Biscuits and Star Candy 7PM KST Web Link FM Star Candy App Download Links Android,neutral
258,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
259,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
260,@chrxstianh__ Candy cigarettes https://t.co/KG874SDB49,Candy cigarettes,neutral
261,. @julieroll_ walks into the store to get candy and walks out with almond joys and mints.,walks into the store to get candy and walks out with almond joys and mints,neutral
262,too much candy,too much candy,positive
263,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
264,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
265,@ChillReemDamn Candy lady top seller,Candy lady top seller,positive
266,#love #outfit Candy Color Electric Cycling Bells https://t.co/DRVpaqCrWK https://t.co/e5VPU7IcSW,love outfit Candy Color Electric Cycling Bells,positive
