,tweet,tweetP,Category
3047,"The aim of the #SpeakUpForCovidNyay movement is to demand the central government to disclose the actual number of covid deaths in the country, and to properly compensate all families of the victims with Rs 4 lakh. https://t.co/PV6GGIdgwu",the aim speakupforcovidnyay movement demand central government disclose actual number covid deaths country properly compensate families victims rs 4 lakh,neutral
3048,"Here's the Fourth Estate #COVID19PH Bulletin as of 4 pm December 4, 2021. Learn more here:https://t.co/zua08J7j5LStay Safe, Senior Squires! #FEBantayCOVID19#COVID19 #covidupdate#covid_19 https://t.co/GQTViXLaK3",here fourth estate covid19ph bulletin 4 pm december 4 2021 learn safe senior squires febantaycovid19 covid19 covidupdate covid 19,positive
3049,"""""""Australian Hayley Hodgson was placed in a Covid internment camp despite testing negative for the virus She was confined to a box for 14 days", offered valium when she complained about confinement,negative
3050,"Just to let you all know, I have spent a lot of time in COVID Courts in recent months. It’s mostly handing out fines (quiet significant ones) for breaking the rules in a much lesser way than alleged at Downing Street last Christmas. #downingstreetparty",just let know spent lot time covid courts recent months mostly handing fines quiet significant ones breaking rules much lesser way alleged downing street last christmas downingstreetparty,positive
3051,Kerala: 1707 teachers and non-teaching staff have still refused to take covid vaccine citing Is|amic beliefs inspite of warning by govt; Highest number in Malappuram,kerala 1707 teachers non teaching staff still refused take covid vaccine citing amic beliefs inspite warning govt highest number malappuram,neutral
3052,"Does anyone truly believe that a guy willing to criminally blackmail a foreign country, and get impeached for trying to take out his competition, didn't 100% hope to infect Biden with covid.Bette Midler just said what the rest of us were thinking. https://t.co/4Tv9hiD9F8",does anyone truly believe guy willing criminally blackmail foreign country get impeached trying take competition 100 hope infect biden covid bette midler said rest us thinking,negative
3053,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
3054,"In case you are wondering what side of history you will end up on with COVID...I am not aware of any historical example where the side that censors debate &amp; facts, leads with fear, mandates medical treatments, and uses children as shields is the side history judges favorably.",in case wondering side history end covid aware historical example side censors debate amp facts leads fear mandates medical treatments uses children shields side history judges favorably,positive
3055,"@JesseDewitt8 @LeYPhiLlips11 @azgasser @JesseKellyDC Yes if you had covid (verified), you should have good antibodies. Get the vaccine anyway.",yes covid verified good antibodies get vaccine anyway,positive
3056,The Modi govt is hiding actual #COVID19 fatalities to🔥Cover up their incompetence🔥Cover up their #Covid Mismanagement🔥Avoid compensating the familiesLet us #SpeakUpForCovidNyay &amp; demand for1⃣ Correct number of Covid deaths.2⃣ 4 Lakh compensation for deserving families https://t.co/03M1IiUuFD,the modi govt hiding actual covid19 fatalities cover incompetence cover covid mismanagement avoid compensating familieslet us speakupforcovidnyay amp demand for1 correct number covid deaths 2 4 lakh compensation deserving families,positive
3057,Aborigine Elders in Australia dragged from their homes and taken to concentration camps because of covid. Nothing to see here. https://t.co/jYjFfnebCA,aborigine elders australia dragged homes taken concentration camps covid nothing see here,neutral
3058,"Covid is a deadly pandemic. It killed science, logic, evidence-based medicine, and common sense ⚰️",covid deadly pandemic killed science logic evidence based medicine common sense,negative
3059,"The virus detected among COVID-19 patients in SW China’s Longchuan, Yunnan, is Delta variant, but not connected to previous contagion in Dehong or other places in China. Longchuan reported 4 more local confirmed cases on Saturday. https://t.co/E7I3muoOKW",the virus detected among covid 19 patients sw china longchuan yunnan delta variant connected previous contagion dehong places china longchuan reported 4 local confirmed cases saturday,positive
3060,.@ygent_official has announced that #LISA has fully recovered from Covid-19 &amp; is no longer under  self-isolation ❤️✨ https://t.co/PtuI1uB6yJ,official announced lisa fully recovered covid 19 amp longer self isolation,neutral
3061,Ekto doctors cooper's k the nahi❗Phir bhi sab sath main leave pe ❓Covid norms k according doctors was not allow to take leave during that time! Because of no of covid case ! @IPS_Association@DoPTGoI CBI Y PITHANI NOT NABBED 4 SSR https://t.co/xWt523iZpD,ekto doctors cooper k nahi phir bhi sab sath main leave pe covid norms k according doctors allow take leave time covid case association cbi pithani nabbed 4 ssr,positive
3062,The media want another lockdown. It's their set dream. Prepare for Covid overload.,the media want another lockdown set dream prepare covid overload,neutral
3063,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
3064,"That’s misleading in the middle of a pandemic, with community spread and variants of concern https://t.co/mjr6qzXqVG https://t.co/iR79I1zLJv",that misleading middle pandemic community spread variants concern,neutral
3065,belfasttelegraph: 'Michelle O’Neill: No new Covid restrictions before Christmas ' https://t.co/VPLS5Q5T0g,belfasttelegraph michelle neill new covid restrictions christmas,positive
3066,Lives could actually be SAVED if Covid tests were free. People aren't getting tested because these tests are INSANELY expensive. It's not okay. Tests should be free and accessible.,lives could actually saved covid tests free people getting tested tests insanely expensive okay tests free accessible,positive
3067,@ChuckCallesto Link: https://t.co/MIOadDAATU,link,neutral
3068,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
3069,People who think infection with #COVID19 will protect them from further COVID-19 infection should think again. This paper from South Africa shows persons reinfected with COVID-19 (PCR proven) up to 4 times. https://t.co/nBSFlzYjMO https://t.co/xxhZejkGo0,people think infection covid19 protect covid 19 infection think paper south africa shows persons reinfected covid 19 pcr proven 4 times,neutral
3070,"Imagine!  We now have an entirely new class of Whistle Blowers (never existed before COVID-1984) from Medical, Financial, even now Media, but none yet from Legacy Politics.These new Whistle Blowers are simply telling the Truth, the Reality, and that makes them Unique.👇 https://t.co/eFEmL3ahm9",imagine entirely new class whistle blowers never existed covid 1984 medical financial even media none yet legacy politics new whistle blowers simply telling truth reality makes unique,positive
3071,"""""""@haderswift @LordP1983 @JustinTrudeau It is not a pandemic. The 1918-1921 spanish flu pandemic killed 80M people when the world counted 2B people. If we apply the same ratio with 7","5B people the covid """"""""pandemic"""""""" should have killed 300M people. 300M!9M die of air pollution each year.You are just brainwashed. https://t.co/RRnIKyM6oQ""""""",negative
3072,Homeless man gets jail time for breaching ‘stay at home’ order https://t.co/3LQXMwzwe7 https://t.co/qphRSAwnvl,homeless man gets jail time breaching stay home order,negative
3073,"We’re still in a pandemic because it’s still unpredictable. ‘Endemic’ means predictable rates and disease spread. Whether high or low endemicity, we’re still not there for covid. And yes pandemics can last for years. Rather than continued denial we need structural mitigation.",we still pandemic still unpredictable endemic means predictable rates disease spread whether high low endemicity still covid yes pandemics last years rather continued denial need structural mitigation,negative
3074,"Fauci and Bill Gates continue to claim that Australia and its internment camps are “doing it right” re COVID. If they had their way, they’d have non compliant Americans taken against their will and locked up in camps. Remember that.",fauci bill gates continue claim australia internment camps right covid way non compliant americans taken locked camps remember that,positive
3075,💧The recently enacted bipartisan infrastructure bill includes $55B for clean water efforts. ~$15B of that will go toward lead pipe remediation.The #BuildBackBetter bill will add another $30B for lead pipe replacement. Pass #BBB NOW! #TrackingHardship 👇https://t.co/YKT45Z8gKs,the recently enacted bipartisan infrastructure bill includes 55b clean water efforts 15b go toward lead pipe remediation buildbackbetter bill add another 30b lead pipe replacement pass bbb trackinghardship,positive
3076,I fully agree with Steven Pinker. Your belief in climate change is not based on science it is based on where you fall on the political spectrum &amp; the same can be said for covid vaccines.,i fully agree steven pinker belief climate change based science based fall political spectrum amp said covid vaccines,neutral
3077,"In some countries, COVID has resulted in weird division about who is 'healthy' &amp; who has 'underlying health issues.' 'Acceptable' &amp; 'unacceptable' deaths. People w/asthma, cancer, hypertension, diabetes, overweight, heart disease -&gt; they're our family, our friends, our community.",in countries covid resulted weird division healthy amp underlying health issues acceptable amp unacceptable deaths people w asthma cancer hypertension diabetes overweight heart disease gt family friends community,neutral
3078,"""""""""""""""Vaccines are designed around original Covid""",vaccines designed around original covid,positive
3079,"My family and I are approaching the end of our isolation after receiving a dreaded positive test result. 🦠 I've only suffered from common cold symptoms 🤧 so if that is also affecting you, please get a PCR as my lateral flow test came back negative. Thankful for my COVID crew! https://t.co/zxVG8uNSw2",my family approaching end isolation receiving dreaded positive test result suffered common cold symptoms also affecting please get pcr lateral flow test came back negative thankful covid crew,negative
3080,"Can You Take Tylenol, Ibuprofen With the COVID Booster Shot? https://t.co/zqBeWGh6HF",can take tylenol ibuprofen covid booster shot,neutral
3081,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
3082,"Weekly French Covid ThreadA very worrying week. New cases jumped by 52% to 38,887 a day. The incidence rate for the 5th wave (366.8 cases/100,000 people/7 days) is now above the peaks of the 3rd and 4th waves in April/August. And Omicron has yet to arrive in big numbers… 1/10 https://t.co/GWxcSNgxaN",weekly french covid threada worrying week new cases jumped 52 38 887 day incidence rate 5th wave 366 8 cases 100 000 people 7 days peaks 3rd 4th waves april august omicron yet arrive big numbers 1 10,positive
3083,Euros was played. Champions league carries on with full stadiums. Internationals happen  as normal. But yeah. Afcon is the one with deep concern over covid. https://t.co/ksznYrOX6Z,euros played champions league carries full stadiums internationals happen normal yeah afcon one deep concern covid,positive
3084,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
3085,"A man in Gujarat's Jamnagar has tested positive for the #Omicron variant of Covid-19, said state health department today.  https://t.co/Y3r8ywQY0W",a man gujarat jamnagar tested positive omicron variant covid 19 said state health department today,positive
3086,"“I have just been alerted to the Government’s new Myocarditis and pericarditis after Covid 19 vaccination: guidance for healthcare professionals, published four days ago on Monday. It makes chilling reading” 🫀https://t.co/8tQyPikoW1",i alerted government new myocarditis pericarditis covid 19 vaccination guidance healthcare professionals published four days ago monday makes chilling reading,negative
3087,Woops! Went to print before it became clear in the last 48 hours that it is the vaccinated who are weak to Covid. #omicron  https://t.co/X1PirrtvRp,woops went print became clear last 48 hours vaccinated weak covid omicron,negative
3088,"""""""I struggle to grasp the irrationality gripping the world over this covid thing. It's mind-numbing😕. How can so many people be so irrational🤔 Scientists themselves tell us the vaccine DOES NOT prevent transmission. Yet people insist everyone must jab """"""""to prevent spread""""""""🤔""""""",i struggle grasp irrationality gripping world covid thing mind numbing many people irrational scientists tell us vaccine prevent transmission yet people insist everyone must jab prevent spread,positive
3089,COVID-19 self-testing is a practical and efficient way to upscale testing in our country. Click the link below if you're a healthcare worker to answer the survey and get a change to WIN an IPad and other prizes! https://t.co/btJ06fPM1l https://t.co/OBaKWNmMaS,covid 19 self testing practical efficient way upscale testing country click link healthcare worker answer survey get change win ipad prizes,positive
3090,The Omnicron variant is just another example of how COVID will be prolonged if rich nations and Big Pharma keep blocking vaccine distribution. https://t.co/dPIjn1EW7I,the omnicron variant another example covid prolonged rich nations big pharma keep blocking vaccine distribution,positive
3091,The dark march towards mandating the Covid vaccine across Europe is the biggest threat to human rights in a generation.My new column for @MailOnline https://t.co/3Mos2X5uct,the dark march towards mandating covid vaccine across europe biggest threat human rights generation new column for,negative
3092,"This must be the hardest conversation I’ve had as a doctor: to tell a family of COVID non believers and anti vaxxers that their 49 year old father will die of COVID. Then have them tell me ‘yeah, whatever, it’s not fucking COVID.’",this must hardest conversation doctor tell family covid non believers anti vaxxers 49 year old father die covid tell yeah whatever fucking covid,negative
3093,"""""""#24thKANAWUTDay#GULFToSchool 💜After just a month"," our """"""""GULF to School"""""""" project has received 8 million VND (~ 12000 baht) na ka~ We're going to use this fund to give away 16 scholarships to students whom are deeply affected by COVID and have to live under poor conditions... https://t.co/uCbUR1NrHn""""""",negative
3094,"“The parties at Xmas were an insult to every person who died of Covid in January 2021 and thereafter, an insult to every grieving and bereaved relative, and an insult to every healthcare worker who sacrificed their mental and physical health.” https://t.co/lqR9MmZSeH",the parties xmas insult every person died covid january 2021 thereafter insult every grieving bereaved relative insult every healthcare worker sacrificed mental physical health,negative
3095,An Italian man who wanted a Covid vaccination certificate without getting the jab - has turned up for his vaccine with a fake arm - but this did not fool the nurse.,an italian man wanted covid vaccination certificate without getting jab turned vaccine fake arm fool nurse,negative
3096,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
3097,"If all your COVID vaccine doses are the same brand, you're mRNAgamous.",if covid vaccine doses brand mrnagamous,neutral
3098,"@a_centrism Polio vaccineSmallpox vaccineTetanus shot (once/10 years)Flu shot (annual, not full efficacy)mRNA Covid....Words/labels &amp; their implied reality conveyance matter.  It’s a “shot” at best, based on prior industry usage.By pushing vax, hesitant are lumped with wacko anti-vax",centrism polio vaccinesmallpox vaccinetetanus shot 10 years flu shot annual full efficacy mrna covid words labels amp implied reality conveyance matter shot best based prior industry usage pushing vax hesitant lumped wacko anti vax,positive
3099,eight years active and i aint seen nothing get joon as fucked up as covid to have this man cussing shit out on stage four days in a row,eight years active aint seen nothing get joon fucked covid man cussing shit stage four days row,negative
3100,@ClownWorldSeven @Minute2Mid @CalumOakes1 @slammer317 @PenalozaJoan @OccupyDemocrats People get what they get at this point. I've buried 10 people now. My family was given covid. No one cares about us. I don't care anymore either.,people get get point buried 10 people family given covid one cares us care anymore either,neutral
3101,"COVID-19 Delta Variant Still Dominant, Say Experts Urging Booster Shots https://t.co/3p8qeIscy8",covid 19 delta variant still dominant say experts urging booster shots,neutral
3102,@ami2795 @garethicke But our NHS is soOver whelmed and covid patients are taking up all the beds. Why didn’t we use those hospitals? Even better we didn’t we have a mass recruitment for nurses and train them up over the last 18months,but nhs soover whelmed covid patients taking beds use hospitals even better we mass recruitment nurses train last 18months,positive
3103,"Just to let you all know, I have spent a lot of time in COVID Courts in recent months. It’s mostly handing out fines (quiet significant ones) for breaking the rules in a much lesser way than alleged at Downing Street last Christmas. #downingstreetparty",just let know spent lot time covid courts recent months mostly handing fines quiet significant ones breaking rules much lesser way alleged downing street last christmas downingstreetparty,positive
3104,@philipthomasba1 @IanCLucas There were plenty of cases where police enforced covid restrictions without complaints. The most high profile being 2 ladies who drove separately to meet for a distanced walk and were presented with a fine. Following a public outcry they &amp; others had their fines cancelled.,there plenty cases police enforced covid restrictions without complaints high profile 2 ladies drove separately meet distanced walk presented fine following public outcry amp others fines cancelled,positive
3105,"@WalkerBragman Walter, if it is about saving lives and protecting the health of the public, lockdowns are a really bad idea.  I live in Japan where suicide stats outstripped those of Covid-19 a long time ago.  What happens to a family when a family business is lost.",walter saving lives protecting health public lockdowns really bad idea live japan suicide stats outstripped covid 19 long time ago happens family family business lost,negative
3106,Dear @metpoliceuk I would like to add my voice to the numerous requests that you investigate the events at No 10 Downing Street where there is evidence of gatherings attended by the PM in direct contravention of the Covid Lockdown rules at the time.To be clear I expect a reply. https://t.co/w6WhQ6TbrT,dear would like add voice numerous requests investigate events 10 downing street evidence gatherings attended pm direct contravention covid lockdown rules time clear expect reply,positive
3107,YG shares that #BLACKPINK #Lisa has now tested negative for COVID-19 and to end her self-quarantine period per today. She is now allowed to resume her daily activityhttps://t.co/LmWOXNqK9u #KoreanUpdates RZ https://t.co/FoSenX4kwS,yg shares blackpink lisa tested negative covid 19 end self quarantine period per today allowed resume daily koreanupdates rz,negative
3108,"❌ This is HARMFUL because of deception by giving our citizens a false sense of safety/security✅ The goal of our daily COVID-19 census is to convey timely and accurate information, we need to speak the TRUTH to help us with our decisions🦠🧬😷💊💉⛔‼️ https://t.co/ZIZUXYCUrW",this harmful deception giving citizens false sense safety security goal daily covid 19 census convey timely accurate information need speak truth help us decisions,neutral
3109,"Brexit Britain once again leads the EU27 - this time in booster jabs.Two years after starting the World’s first mass COVID-19 vaccination programme, the UK is once again topping the table in Europe with its booster vaccines.https://t.co/lEORdL1zlN https://t.co/fdDakUzjyG",brexit britain leads eu27 time booster jabs two years starting world first mass covid 19 vaccination programme uk topping table europe booster vaccines,positive
3110,New data from #VAERS dropped through 11.26.21https://t.co/qbg1Z54mo8 https://t.co/YBzIlkCtcF,new data vaers dropped 11 26,positive
3111,₹4 lakh compensation is for the rest of family to survive...Is that asking too much?I join Shri @RahulGandhi in demanding govt to release the actual no of Covid deaths &amp; ₹4 lakh compensation to the familes.#SpeakUpForCovidNyay https://t.co/X2KUjxjf4d,4 lakh compensation rest family survive asking much join shri demanding govt release actual covid deaths amp 4 lakh compensation familes speakupforcovidnyay,positive
3112,"Recey Marie Pandy, MD is now giving the first part of her talk about COVID-19 tackling the variants, mutations and vaccines.#COVID19FactCheck#COVID19AandT#ServeToChangeLives https://t.co/MBRJYXuxmI",recey marie pandy md giving first part talk covid 19 tackling variants mutations vaccines covid19factcheck covid19aandt servetochangelives,positive
3113,Congress Party will continue to seek justice for those who lost their loved ones due to COVID. We demand that the Modi Govt:1. Release the correct number of Covid deaths 2. Compensate all families of Covid victims with Rs.4 lakh#SpeakUpForCovidNyay,congress party continue seek justice lost loved ones due covid demand modi govt 1 release correct number covid deaths 2 compensate families covid victims rs 4 lakh speakupforcovidnyay,positive
3114,YG Entertainment announce LISA has fully recovered from Covid-19 &amp; is no longer in self-isolation!https://t.co/3LnBGShvMy,yg entertainment announce lisa fully recovered covid 19 amp longer self isolation,neutral
3115,"Covid is a deadly pandemic. It killed science, logic, evidence-based medicine, and common sense ⚰️",covid deadly pandemic killed science logic evidence based medicine common sense,negative
3116,"Covid is a deadly pandemic. It killed science, logic, evidence-based medicine, and common sense ⚰️",covid deadly pandemic killed science logic evidence based medicine common sense,negative
3117,Covid: Trigger of rare blood clots with AstraZeneca jab found by scientists - BBC News https://t.co/pJBxLAhGGY,covid trigger rare blood clots astrazeneca jab found scientists bbc news,positive
3118,The cost of a COVID test is a human rights abuse.,the cost covid test human rights abuse,neutral
3119,Since it's the Future (South Park Post COVID) https://t.co/FEKCZU8xtJ via @YouTube,since future south park post covid via,neutral
3120,Covid-19 Vaccine = great reset Non Compliance = great resistWhich side are you on?,covid 19 vaccine great reset non compliance great resistwhich side on,positive
3121,YG Entertainment reports that BLACKPINK’s Lisa has recovered from COVID-19 and has come out of self-isolation. 🤍 https://t.co/4BGSt1c35Q,yg entertainment reports blackpink lisa recovered covid 19 come self isolation,neutral
3122,"@davesheph @RslewisSally Question to #TeamGP  &amp; other vaccine delivery services, will the increased fees for Covid vacs cover the expense of delivery?Especially as the work GPs can defer - again (remember the blood bottle fiasco?) - will need additional time (&amp; so expense) in the future? @rcgp @TheBMA",question teamgp amp vaccine delivery services increased fees covid vacs cover expense delivery especially work gps defer remember blood bottle fiasco need additional time amp expense future,neutral
3123,"Patrick Christys: You’re too busy to diagnose people with cancer, but you’ve got all the time to administer a Covid vaccine for cold, hard cash https://t.co/ABwB3sft9u",patrick christys busy diagnose people cancer got time administer covid vaccine cold hard cash,negative
3124,"@ngoato_ma @JerryPurfz @Mag1do These people are so sick,they gave us an alternative to test every week via PCR, At our cost. So we must force that thing under our nose 4 to 5 times a month, with or without symptoms. They are crazy. 2 years in and I've probably had covid a recovered. But I've never had to test.",ma people sick gave us alternative test every week via pcr cost must force thing nose 4 5 times month without symptoms crazy 2 years probably covid recovered never test,negative
3125,"""""""""""""""the chimpanzee adenovirus used by AstraZeneca... attracts the blood protein known as “platelet factor 4” to it.""""""""""""""""which triggers a reaction from the body’s immune system that can result in clots.""""""""It would have been nice to know this BEFORE""",the chimpanzee adenovirus used astrazeneca attracts blood protein known platelet factor 4 triggers reaction body immune system result clots would nice know before,positive
3126,@Hepworthclare Oh Covid-19 absolutely loves parties...,oh covid 19 absolutely loves parties,positive
3127,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
3128,"Covid is a deadly pandemic. It killed science, logic, evidence-based medicine, and common sense ⚰️",covid deadly pandemic killed science logic evidence based medicine common sense,negative
3129,"""""""Results are complete. This has serious implications for how Covid vaccines' impact is evaluated and will be evaluated moving forward.The results will be published exclusively tomorrow on my Substack """"""""The Wildfire Newsletter.""""""""Sign up is below:https://t.co/WC8EXVA6EL""""""",results complete serious implications covid vaccines impact evaluated evaluated moving forward results published exclusively tomorrow substack wildfire newsletter sign below,negative
3130,Covid-19 vaccines are expected to be rolled out for Australian children from early January once regulators gives the Pfizer shot their approval.https://t.co/tny62xV9KL,covid 19 vaccines expected rolled australian children early january regulators gives pfizer shot approval,neutral
3131,"Majority of Indian voters are youngsters who witnessed the condition of the nation in the last 2 yrs. COVID mismanagement, job crisis, migrant crisis, farmers' protest - BJP has disappointed common man every step of the way.By supporting BJP who are you cheating?#NoVote_ToBJP",majority indian voters youngsters witnessed condition nation last 2 yrs covid mismanagement job crisis migrant crisis farmers protest bjp disappointed common man every step way supporting bjp cheating novote tobjp,negative
3132,Striving for a better Uganda; our theme for a developed journey is “Recognizing continued Social Economic transformation of Uganda and strengthening the fundamentals of the economy to achieve Uganda Vision 2040 amidst COVID-19 challenges” #LetsBuildUG https://t.co/h7J7qtHoyS,striving better uganda theme developed journey recognizing continued social economic transformation uganda strengthening fundamentals economy achieve uganda vision 2040 amidst covid 19 challenges letsbuildug,positive
3133,Dare GOI say NO DATA AVAILABLE to the mother who lost her son on her feet struggling to breathe due to covid.#SpeakUpForCovidNyay https://t.co/lugW6uZ8EN,dare goi say data available mother lost son feet struggling breathe due covid speakupforcovidnyay,positive
3134,Ya boy probably has covid,ya boy probably covid,neutral
3135,#LISA is now free of COVID-19 and has come out of self-isolation! 🙏🏻https://t.co/cwwhDXSJx9 https://t.co/SOrIQ4CxLq,lisa free covid 19 come self isolation,positive
3136,"We've launched a new initiative! #HealthierYou is a one-stop shop to promote your best &amp; healthy lifestyle. This is a resource for Floridians of all ages to get active, go outside, improve nutrition, or learn more about COVID-19. Learn more @ https://t.co/BKMsDcrYQI. https://t.co/ESIxTJ72H2",we launched new initiative healthieryou one stop shop promote best amp healthy lifestyle resource floridians ages get active go outside improve nutrition learn covid 19 learn more,positive
3137,"Before BB15 Dr. @realumarriaz was serving the country as a Covid frontline worker and saving lives. Even though he is a contestant on the show, time and again whenever someone has needed medical assistance he has put his game aside and helped out. @ColorsTV ROAR LIKE SHER UMAR",before bb15 dr serving country covid frontline worker saving lives even though contestant show time whenever someone needed medical assistance put game aside helped roar like sher umar,negative
3138,Ireland is almost 92% vaccinated buthttps://t.co/VFRPudShqf,ireland almost 92 vaccinated,neutral
3139,Our girl is now COVID-FREE! Now vote for her to celebrate!!! i vote #MAMAVOTE  #lisa,our girl covid free vote celebrate vote mamavote lisa,positive
3140,"Fully vaxxed Dana White Contracts COVID-19, loses his sense of taste and smell then calls Joe Rogan for treatment protocol....and says ‘Feeling Like a Million Bucks’ in LESS THAN 24 HOURS.-Resist The Mainstream",fully vaxxed dana white contracts covid 19 loses sense taste smell calls joe rogan treatment protocol says feeling like million bucks less 24 hours resist mainstream,negative
3141,"'I have concerns about a Christmas Party that took place on December 18th at Downing Street, are you investigating?'Met Police Commissioner Dame Cressida Dick says claims Covid rules were broken by No 10 staff have not been reported to her.@NickFerrariLBC https://t.co/f3tBi6IR5U",i concerns christmas party took place december 18th downing street investigating met police commissioner dame cressida dick says claims covid rules broken 10 staff reported her,negative
3142,"First #Omicron superspreader event? Not yet proven but looking like this variant spread extensively between *vaccinated* people at a large conference, perhaps when people removed their masks to “have a breather”.  https://t.co/iWe71qN4Av",first omicron superspreader event yet proven looking like variant spread extensively vaccinated people large conference perhaps people removed masks breather,positive
3143,"Breaking news. @BorisJohnson finally admits that a party did take place at 10 Downing Street, a land of make believe where normal rules don’t apply, where Buck’s Fizz flows 24/7, Peppa Pig dances naked around the chaise lounge, everyone snogs and no one has even heard of Covid. https://t.co/AAZLX6ZLBG",breaking news finally admits party take place 10 downing street land make believe normal rules apply buck fizz flows 24 7 peppa pig dances naked around chaise lounge everyone snogs one even heard covid,positive
3144,Even bedridden in 2nd wave I ensured that clients didn't go unheard of for their covid related claims. Co-ordinated with TPAs and Hospital for speedy claims but I get paid salary of 2012 year. Justified?? #GIPSAWAGEREVISION,even bedridden 2nd wave ensured clients go unheard covid related claims co ordinated tpas hospital speedy claims get paid salary 2012 year justified gipsawagerevision,positive
3145,WWII Vet Who Survived COVID-19 Honored on 105th Birthday https://t.co/v0k8VRug31,wwii vet survived covid 19 honored 105th birthday,neutral
3146,Yesterday ⁦@JohnSwinney⁩ told me that the issues with people being turned away from booster appointments had been resolved. This morning on #GMS ⁦@jasonleitch⁩ said that they could still be ongoing. Both of these statements cannot be true.  https://t.co/EDvfwNYWLa,yesterday told issues people turned away booster appointments resolved morning gms said could still ongoing statements cannot true,positive
3147,The cost of a COVID test is a human rights abuse.,the cost covid test human rights abuse,neutral
3148,"""""""'The Covid Cover-Up'?'The Faked Moon Landings'?'Phil the Greek had Diana killed'?'The Man on the Grassy Mound'?Paranoid", Conspiracy Theories?Ladies and Gentlemen. I give you,neutral
3149,"BREAKING REPORT: Bette Midler calls for Trump to be arrested for ATTEMPTED MURDER, says he tried to infect Biden with COVID-19...",breaking report bette midler calls trump arrested attempted murder says tried infect biden covid 19,neutral
3150,How Much Longer for COVID Scare Tactics? - https://t.co/NgdI0OKIeg,how much longer covid scare tactics,positive
3151,The cost of a COVID test is a human rights abuse.,the cost covid test human rights abuse,neutral
3152,The cost of a COVID test is a human rights abuse.,the cost covid test human rights abuse,neutral
3153,ALHAMDULILLAH. 🙏😭YG Entertainment confirmed LISA came out of self isolation &amp; completely cured from COVID 19.I'M SO HAPPY.MAY ALLAH BLESS YOU MORE LISA. I LOVE YOU BEYOND TIME MY SUPERMODEL. 😎👸THANK YOU YA ALLAH. 😭 #LALISA #MONEY#LISAXCELINE I VOTE #MAMAVOTE #lisa https://t.co/NK3JvOvSfV,alhamdulillah yg entertainment confirmed lisa came self isolation amp completely cured covid 19 happy may allah bless lisa love beyond time supermodel thank ya allah lalisa money lisaxceline vote mamavote lisa,positive
3154,Australia is effectively operating concentration camps for Covid-positive people and police gets them there against their will while no western leader spesks out. The world is at a very dark path right now.,australia effectively operating concentration camps covid positive people police gets western leader spesks world dark path right now,positive
3155,It’s not true that B Johnson doesn’t believe in anything .. he’s an unyielding libertarian .. that selfish view of ‘freedom’..let the people be ‘free’ to do what they want whatever the consequences. Re Covid here we go again..Compare with Ireland etc: https://t.co/6MEFqcdjHB,it true b johnson believe anything unyielding libertarian selfish view freedom let people free want whatever consequences covid go compare ireland etc,positive
3156,"Disabled people in the UK have been disproportionally attacked by the Tories over the past decade - through austerity, cuts to benefits and a cruel lack of support during Covid.On UN International Day for Disabled People, let's commit to stepping up the fight for real equality.",disabled people uk disproportionally attacked tories past decade austerity cuts benefits cruel lack support covid un international day disabled people let commit stepping fight real equality,negative
3157,"""""""Today on Storm in the Valley", I interview Leila Jane - discussing the music scene in Dublin,neutral
3158,"Trump declared the state of emergency, made Fauci the head of the response, champion lockdowns early and brags about the vaccines. Just yesterday 80 house republicans voted to expand CDC and create a Vaccine database.The Republicans are not a party that opposes the covid regime",trump declared state emergency made fauci head response champion lockdowns early brags vaccines yesterday 80 house republicans voted expand cdc create vaccine database republicans party opposes covid regime,positive
3159,The Omnicron variant is just another example of how COVID will be prolonged if rich nations and Big Pharma keep blocking vaccine distribution. https://t.co/dPIjn1EW7I,the omnicron variant another example covid prolonged rich nations big pharma keep blocking vaccine distribution,positive
3160,"Email from a police officer.“Today is not a good day. Today I’m struggling. A “Covid” outbreak at work has meant we’ve all had to go home and get a PCR. Mine came back negative - they always do. I’m perfectly well, fit and healthy together with a negative test and yet...",email police officer today good day today struggling covid outbreak work meant go home get pcr mine came back negative always perfectly well fit healthy together negative test yet,positive
